asks,bids,number_of_transaction,time_between_block,Avg_Bitcoin_network_hashrate,Block size votes,Blockchain blocks size,Bid-ask spread,trade_per_minutes,price,signal
479652.4979,2028467.791,205861,9.455337691,3.40038E+18,152,661959.5033,0.088935082,22.13409722,6474.503901,-1
482688.2336,2007413.469,159090,8.717168675,3.68833E+18,166,381832.6506,0.088479963,16.43152778,6399.529986,1
484402.7958,2013368.388,144908,9.077813163,3.5418E+18,157,398623.3121,0.085983238,13.52277778,6454.209274,1
455421.825,2027602.935,196305,8.872357724,3.32183E+18,163,509056.2622,0.079787139,21.66145833,6477.351381,1
461278.3919,2053128.913,191805,9.303870968,3.22152E+18,155,758650.6129,0.07829859,18.99777778,6657.164598,-1
475916.1353,2035504.993,198889,9.220322581,3.5836E+18,155,938434.4581,0.078788436,18.52881944,6634.90113,1
476878.7317,2071189.807,198113,8.489901961,4.2811E+18,170,491479.0824,0.070642035,16.25513889,6676.628528,-1
470836.1967,1934699.862,204144,9.564679912,3.45458E+18,151,629787.9735,0.092916134,40.29909722,6324.557652,-1
478437.8896,1752494.566,163295,9.018541667,4.03016E+18,160,438661.2313,0.100602978,19.95388889,6102.410268,-1
468291.1767,1766540.47,158022,8.283528265,3.98887E+18,171,387540.4386,0.094496514,31.42243056,6021.794394,1
461030.2948,1788089.756,200173,9.327070064,3.54259E+18,157,791276.4331,0.083728047,27.98145833,6201.445042,1
479192.9101,1822575.004,195404,9.841324201,3.35747E+18,146,931202.7808,0.089083019,19.91986111,6203.679485,-1
474612.3529,1767682.28,188510,11.90633609,2.77516E+18,121,926959.8678,0.083794088,20.06618056,6097.793538,-1
481483.2026,1450972.87,187624,9.015180467,4.03166E+18,156,561772.1911,0.073277246,20.38159722,6082.227472,-1
475090.4998,1810269.87,197881,9.671081678,3.41657E+18,150,589908.1788,0.078333012,26.37243056,5902.854017,1
479479.9223,1851571.682,181065,10.19373522,3.2414E+18,141,841934.0567,0.079995144,22.04125,6362.723213,-1
460855.4577,1865459.786,156247,9.858276644,3.07239E+18,146,586946.3741,0.081780217,15.63069444,6351.562796,1
477675.497,1885089.889,199294,10.01678487,3.36063E+18,141,826984.1986,0.073901272,28.66215278,6450.581037,1
478199.735,1923335.922,216747,12.28778736,2.60385E+18,116,936230.5431,0.060340228,20.51569444,6596.922278,-1
477940.7761,1882483.651,206788,10.98544776,2.91254E+18,134,780002.8358,0.072002111,21.92166667,6573.347518,1
475394.9497,1915077.674,199600,10.51618005,3.04251E+18,137,637508.5547,0.063741977,28.52118056,6582.752595,-1
476352.8653,1896192.611,200993,8.944583333,4.76945E+18,160,555028.8938,0.063273433,18.90819444,6542.007141,1
483247.5359,1897681.937,170160,9.348183761,3.42265E+18,156,435066.8782,0.064579546,16.30159722,6572.687496,1
466241.8975,1971193.996,155685,9.06128692,3.53102E+18,158,480767.3101,0.0580245,14.703125,6738.721493,-1
474310.6975,1959903.419,206546,10.50735294,3.04507E+18,136,909521.0662,0.054905665,19.03055556,6705.646548,-1
474057.7868,1890307.858,216063,9.76935123,3.57283E+18,149,815459.7248,0.062622734,24.12784722,6487.180451,-1
476956.5658,1888675.403,202603,10.67469136,3.5968E+18,135,838057.5481,0.0647555,19.55770833,6355.370317,-1
462771.6082,1831264.392,203535,9.971276596,3.50048E+18,141,868299.5603,0.05886153,21.94833333,6230.982174,1
477030.836,1793638.613,207904,10.2539627,3.40398E+18,141,868353.4406,0.058739216,21.30090278,6237.55622,-1
474586.0604,1833632.251,176475,10.89949875,2.93551E+18,132,893014.3459,0.066796171,14.71,6235.231227,1
472197.809,1814085.586,161151,10.74047619,3.57477E+18,133,635255.9173,0.062883332,14.89930556,6314.718148,1
456042.0488,1894967.172,207842,11.99083333,2.66834E+18,120,742467.3833,0.053998576,26.42194444,6519.009077,1
505151.949,1996900.042,233966,9.099266247,3.40873E+18,159,720760.566,0.051316062,36.41243056,6873.619542,1
606620.9819,2144204.359,238769,8.290708812,4.06483E+18,174,890976.0862,0.070321735,37.464375,7399.951432,-1
605860.8525,2158479.976,225039,8.437719298,3.99401E+18,171,596324.8246,0.069651674,27.85854167,7388.754211,1
609280.4285,2180264.459,225529,9.307251082,3.31913E+18,154,649343.0779,0.073881919,34.01618056,7421.128999,-1
610137.5921,2178707.972,184803,10.50352798,3.52933E+18,135,569546.781,0.07547481,23.164375,7346.437066,1
611449.4875,2192880.807,167129,7.89478022,3.61197E+18,182,361626.5714,0.071393581,21.26541667,7447.430007,1
597919.3784,2231961.906,229480,8.719678715,3.86486E+18,166,707777.3434,0.069166447,36.424375,7674.55111,1
690643.2012,2334008.674,259358,8.992872117,4.58022E+18,159,750730.6289,0.071289349,49.27534722,8067.885207,1
756953.2873,2325600.918,251265,8.148314607,4.13587E+18,178,803530.3483,0.069762089,36.94451389,8254.811432,-1
734147.8295,2391505.187,231679,8.802121212,3.50961E+18,165,621509.2424,0.068836167,30.71958333,8200.450726,-1
659566.3578,2402258.225,229397,8.573253493,3.93087E+18,167,741261.3772,0.068190201,31.105,8027.425691,1
756284.4336,2467652.307,188238,9.937471264,3.10864E+18,144,594520.7103,0.067716912,17.47291667,8184.674739,1
